Time(s),NumRequests
0,979
1,5158
2,5284
3,5005
4,5134
5,5378
6,4869
7,5261
8,5332
9,5123
10,5293
11,5303
12,5235
13,5424
14,5271
15,5262
16,5258
17,5212
18,5299
19,5329
20,5234
21,5220
22,5293
23,5212
24,5117
25,5355
26,5134
27,5307
28,5336
29,5330
30,5388
31,5316
32,5226
33,5396
34,5327
35,4980
36,5300
37,5301
38,5201
39,5321
40,5354
41,5112
42,5327
43,5267
44,5109
45,5190
46,5044
47,5107
48,5131
49,5081
50,5031
51,5008
52,5122
53,5117
54,5129
55,5012
56,4999
57,5308
58,5229
59,5232
60,5296
61,5277
62,5253
63,4960
64,5282
65,5241
66,4986
67,5110
68,4669
69,5093
70,5213
71,4151
72,4959
73,5124
74,4889
75,3927
76,5145
77,5084
78,5031
79,5100
80,5155
81,5090
82,4959
83,4958
84,5096
85,5061
86,4916
87,5096
88,4976
89,5141
90,5016
91,5088
92,5022
93,4935
94,5003
95,5021
96,4883
97,5018
98,1164
